001  00431 |Loss: 1.263 | Acc: 52.000% 
001  00432 |Loss: 1.261 | Acc: 52.000% 
001  00433 |Loss: 1.260 | Acc: 53.000% 
001  00434 |Loss: 1.259 | Acc: 52.000% 
001  00435 |Loss: 1.258 | Acc: 52.000% 
001  00436 |Loss: 1.256 | Acc: 53.000% 
001  00437 |Loss: 1.254 | Acc: 53.000% 
001  00438 |Loss: 1.253 | Acc: 53.000% 
001  00439 |Loss: 1.253 | Acc: 53.000% 
001  00440 |Loss: 1.253 | Acc: 53.000% 
001  00441 |Loss: 1.253 | Acc: 53.000% 
001  00442 |Loss: 1.255 | Acc: 52.000% 
001  00443 |Loss: 1.254 | Acc: 52.000% 
001  00444 |Loss: 1.253 | Acc: 53.000% 
001  00445 |Loss: 1.251 | Acc: 53.000% 
001  00446 |Loss: 1.250 | Acc: 53.000% 
001  00447 |Loss: 1.248 | Acc: 53.000% 
001  00448 |Loss: 1.249 | Acc: 53.000% 
001  00449 |Loss: 1.247 | Acc: 53.000% 
001  00450 |Loss: 1.246 | Acc: 53.000% 
001  00451 |Loss: 1.245 | Acc: 53.000% 
001  00452 |Loss: 1.244 | Acc: 53.000% 
001  00453 |Loss: 1.243 | Acc: 53.000% 
001  00454 |Loss: 1.241 | Acc: 53.000% 
001  00455 |Loss: 1.240 | Acc: 53.000% 
001  00456 |Loss: 1.238 | Acc: 53.000% 
001  00457 |Loss: 1.237 | Acc: 53.000% 
001  00458 |Loss: 1.235 | Acc: 53.000% 
001  00459 |Loss: 1.234 | Acc: 53.000% 
001  00460 |Loss: 1.233 | Acc: 53.000% 
001  00461 |Loss: 1.233 | Acc: 53.000% 
001  00462 |Loss: 1.231 | Acc: 53.000% 
001  00463 |Loss: 1.230 | Acc: 53.000% 
001  00464 |Loss: 1.229 | Acc: 53.000% 
001  00465 |Loss: 1.229 | Acc: 53.000% 
001  00466 |Loss: 1.228 | Acc: 53.000% 
001  00467 |Loss: 1.227 | Acc: 53.000% 
001  00468 |Loss: 1.226 | Acc: 53.000% 
001  00469 |Loss: 1.224 | Acc: 53.000% 
001  00470 |Loss: 1.223 | Acc: 53.000% 
001  00471 |Loss: 1.222 | Acc: 53.000% 
001  00472 |Loss: 1.221 | Acc: 53.000% 
001  00473 |Loss: 1.220 | Acc: 53.000% 
001  00474 |Loss: 1.220 | Acc: 53.000% 
001  00475 |Loss: 1.219 | Acc: 53.000% 
001  00476 |Loss: 1.218 | Acc: 53.000% 
001  00477 |Loss: 1.217 | Acc: 53.000% 
001  00478 |Loss: 1.216 | Acc: 53.000% 
001  00479 |Loss: 1.215 | Acc: 53.000% 
001  00480 |Loss: 1.214 | Acc: 53.000% 
001  00481 |Loss: 1.212 | Acc: 53.000% 
001  00482 |Loss: 1.211 | Acc: 53.000% 
001  00483 |Loss: 1.210 | Acc: 53.000% 
001  00484 |Loss: 1.212 | Acc: 53.000% 
001  00485 |Loss: 1.213 | Acc: 53.000% 
001  00486 |Loss: 1.213 | Acc: 53.000% 
001  00487 |Loss: 1.213 | Acc: 53.000% 
001  00488 |Loss: 1.212 | Acc: 53.000% 
001  00489 |Loss: 1.211 | Acc: 53.000% 
001  00490 |Loss: 1.210 | Acc: 53.000% 
001  00491 |Loss: 1.209 | Acc: 53.000% 
001  00492 |Loss: 1.208 | Acc: 53.000% 
001  00493 |Loss: 1.207 | Acc: 53.000% 
001  00494 |Loss: 1.206 | Acc: 53.000% 
001  00495 |Loss: 1.204 | Acc: 53.000% 
001  00496 |Loss: 1.203 | Acc: 53.000% 
001  00497 |Loss: 1.202 | Acc: 53.000% 
001  00498 |Loss: 1.200 | Acc: 53.000% 
001  00499 |Loss: 1.200 | Acc: 53.000% 
001  00500 |Loss: 1.198 | Acc: 53.000% 
001  00501 |Loss: 1.199 | Acc: 53.000% 
001  00502 |Loss: 1.197 | Acc: 53.000% 
001  00503 |Loss: 1.196 | Acc: 53.000% 
001  00504 |Loss: 1.195 | Acc: 53.000% 
001  00505 |Loss: 1.194 | Acc: 53.000% 
001  00506 |Loss: 1.194 | Acc: 53.000% 
001  00507 |Loss: 1.193 | Acc: 53.000% 
001  00508 |Loss: 1.192 | Acc: 53.000% 
001  00509 |Loss: 1.192 | Acc: 53.000% 
001  00510 |Loss: 1.191 | Acc: 53.000% 
001  00511 |Loss: 1.191 | Acc: 53.000% 
001  00512 |Loss: 1.190 | Acc: 53.000% 
001  00513 |Loss: 1.189 | Acc: 53.000% 
001  00514 |Loss: 1.188 | Acc: 53.000% 
001  00515 |Loss: 1.187 | Acc: 53.000% 
001  00516 |Loss: 1.186 | Acc: 53.000% 
001  00517 |Loss: 1.184 | Acc: 53.000% 
001  00518 |Loss: 1.184 | Acc: 53.000% 
